workspace_id,project_id,mall_name,campaign_id,campaign_name,promotion_id,promotion_name,placement,page_url,creative_id,creative_type,start_at,end_at,status
ws_coupang,proj_coupang_fashion,쿠팡,camp_cp_001,봄 패션 특가전,promo_cp_001,오늘의 패션 특가 배너,main_hero,/패션,creative_cp_001,image,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,active
ws_coupang,proj_coupang_fashion,쿠팡,camp_cp_001,봄 패션 특가전,promo_cp_002,로켓배송 무료반품 안내 배너,top_banner,/,creative_cp_002,image,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,active
ws_coupang,proj_coupang_fashion,쿠팡,camp_cp_002,신규 회원 혜택전,promo_cp_003,첫 구매 쿠폰 프로모션,category_banner,/패션,creative_cp_003,image,2026-04-05T00:00:00Z,2026-04-25T23:59:59Z,active
ws_musinsa,proj_musinsa_store,무신사,camp_ms_001,봄 아우터 기획전,promo_ms_001,봄 아우터 추천 배너,main_hero,/메인,creative_ms_001,image,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,active
ws_musinsa,proj_musinsa_store,무신사,camp_ms_002,무신사 스탠다드 추천전,promo_ms_002,무신사 스탠다드 인기 상품 모음,product_list_banner,/브랜드/무신사스탠다드,creative_ms_002,image,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,active
ws_musinsa,proj_musinsa_store,무신사,camp_ms_003,주말 한정 세일,promo_ms_003,주말 특가 할인 배너,top_banner,/메인,creative_ms_003,image,2026-04-11T00:00:00Z,2026-04-13T23:59:59Z,active
ws_29cm,proj_29cm_store,29CM,camp_29_001,감도 깊은 봄 셀렉션,promo_29_001,봄 셀렉션 메인 배너,main_hero,/,creative_29_001,image,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,active
ws_29cm,proj_29cm_store,29CM,camp_29_002,홈카페·리빙 특집,promo_29_002,홈카페 리빙 추천 배너,category_banner,/홈,creative_29_002,image,2026-04-03T00:00:00Z,2026-04-28T23:59:59Z,active
ws_29cm,proj_29cm_store,29CM,camp_29_003,단독 할인 모음전,promo_29_003,단독 할인 쿠폰 배너,top_banner,/,creative_29_003,image,2026-04-08T00:00:00Z,2026-04-30T23:59:59Z,active
ws_wconcept,proj_wconcept_store,W컨셉,camp_wc_001,디자이너 브랜드 위크,promo_wc_001,디자이너 브랜드 특가전,main_hero,/,creative_wc_001,image,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,active
ws_wconcept,proj_wconcept_store,W컨셉,camp_wc_002,신규 가입 혜택,promo_wc_002,신규 회원 첫 결제 할인,top_banner,/,creative_wc_002,image,2026-04-01T00:00:00Z,2026-04-30T23:59:59Z,active
ws_wconcept,proj_wconcept_store,W컨셉,camp_wc_003,슈즈 추천 기획전,promo_wc_003,봄 슈즈 추천 배너,category_banner,/카테고리/슈즈,creative_wc_003,image,2026-04-07T00:00:00Z,2026-04-27T23:59:59Z,active
