workspace_id,project_id,mall_name,product_id,product_name,category_id,category_name,unit_price,currency
ws_coupang,proj_coupang_fashion,쿠팡,prod_cp_101,여성 데일리 스니커즈,cat_shoes,신발,39900,KRW
ws_coupang,proj_coupang_fashion,쿠팡,prod_cp_102,남성 베이직 셔츠,cat_top,상의,27900,KRW
ws_coupang,proj_coupang_fashion,쿠팡,prod_cp_103,경량 바람막이 점퍼,cat_outer,아우터,54900,KRW
ws_musinsa,proj_musinsa_store,무신사,prod_ms_101,오버핏 후드 집업,cat_top,상의,69000,KRW
ws_musinsa,proj_musinsa_store,무신사,prod_ms_102,와이드 데님 팬츠,cat_bottom,하의,79000,KRW
ws_musinsa,proj_musinsa_store,무신사,prod_ms_103,무신사 스탠다드 반팔 티셔츠,cat_top,상의,19900,KRW
ws_29cm,proj_29cm_store,29CM,prod_29_101,원목 사이드 테이블,cat_living,리빙,89000,KRW
ws_29cm,proj_29cm_store,29CM,prod_29_102,홈카페 머그 세트,cat_homecafe,홈카페,32000,KRW
ws_29cm,proj_29cm_store,29CM,prod_29_103,캔버스 미니 숄더백,cat_bag,가방,74000,KRW
ws_wconcept,proj_wconcept_store,W컨셉,prod_wc_101,디자이너 플랫 슈즈,cat_shoes,신발,119000,KRW
ws_wconcept,proj_wconcept_store,W컨셉,prod_wc_102,미니 레더 숄더백,cat_bag,가방,149000,KRW
ws_wconcept,proj_wconcept_store,W컨셉,prod_wc_103,실크 블라우스,cat_top,상의,89000,KRW
